Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
TURKEY.INDPROD.ELECTR    ,16832,15311,16528,15757,16109,16708,18841,19823,16554,16521,15740,18322,18664,16929,18386,17090,16895,17313,20062,19615,18071,17934,18209,20166,20538,19108,19879,17576,18114,19100,21669,20475,18752,17010,17811,19607
TURKEY.IMPORTS.ELECTR    ,62,58,49,36,35,28,56,48,121,218,214,219,354,362,319,332,323,253,531,562,445,426,410,429,218,253,286,206,266,364,434,420,410,393,509,603
TURKEY.EXPORTS.ELECTR    ,127,135,87,77,115,155,166,177,178,244,236,219,234,222,196,202,222,299,409,380,358,392,452,470,289,177,256,133,36,162,181,157,93,3,2,1
TURKEY.CONSUME.ELECTR    ,16767,15234,16490,15716,16029,16581,18731,19694,16497,16495,15718,18322,18784,17069,18509,17220,16996,17267,20184,19797,18158,17968,18167,20125,20467,19184,19909,17649,18344,19302,21922,20738,19069,17400,18318,20209
UK.INDPROD.THERMAL       ,30127,26806,26439,22776,23019,21053,20982,20119,21586,23283,26028,29702,27371,23408,24694,19020,19344,19064,19431,19787,20520,22256,24142,23400,23156,24462,23305,19545,19772,17855,18462,17464,17028,21938,22288,22727
UK.INDPROD.NUCLEAR       ,5802,4990,5763,4662,4032,3913,3980,4063,3780,5291,4492,5706,5983,5464,6237,5928,5874,5612,5130,4946,4251,4061,4205,5022,5528,5623,4486,5632,5738,5472,5152,5960,5281,4904,4525,5708
UK.INDPROD.HYDRO         ,626,491,577,626,442,361,499,484,584,698,817,513,644,801,614,640,590,566,523,623,786,876,827,1066,1052,842,731,483,503,477,545,542,648,716,831,813
UK.INDPROD.GEOTHERM      ,944,569,933,688,514,455,907,790,1039,1319,1248,810,1209,1301,871,1036,1712,854,701,844,1521,1782,1698,2256,2106,1756,1358,1499,1350,1472,1134,1262,2278,1534,2138,2712
UK.INDPROD.ELECTR        ,37499,32855,33711,28752,28007,25782,26367,25457,26988,30591,32585,36731,35207,30974,32416,26624,27520,26096,25784,26199,27078,28974,30872,31744,31843,32684,29880,27160,27363,25276,25293,25229,25235,29093,29782,31959
UK.IMPORTS.ELECTR        ,141,221,336,382,658,985,1039,1287,617,256,560,662,731,517,539,773,411,870,1063,1002,591,456,447,1289,1475,522,1172,1128,1223,1000,1403,1416,1493,1541,1136,1086
UK.EXPORTS.ELECTR        ,871,771,743,338,235,36,30,30,125,610,367,325,255,286,182,120,280,125,62,85,150,240,585,98,66,1046,70,66,43,53,36,132,59,64,45,40
UK.CONSUME.ELECTR        ,36769,32305,33304,28796,28430,26731,27376,26714,27480,30237,32778,37068,35683,31205,32773,27277,27651,26841,26785,27116,27519,29190,30734,32935,33252,32160,30982,28222,28543,26223,26660,26513,26669,30570,30873,33005
USA.INDPROD.THERMAL      ,258936,227199,216784,200221,226882,269368,306327,309531,250448,217838,212498,255386,255916,212332,209895,202969,221411,258306,306424,299443,240732,213607,204315,227496,229195,212218,204549,197784,230778,254553,308528,291766,240800,220856,216283,226197
USA.INDPROD.NUCLEAR      ,72569,65245,64635,57611,66658,68301,71913,71574,69371,62751,62655,73683,72749,64795,65667,54552,57021,65276,72351,71345,66854,63359,64479,71843,72387,63852,61734,55876,62087,65146,69135,69608,64516,59748,56718,68589
USA.INDPROD.HYDRO        ,24284,22474,22395,20358,27563,32751,27213,22656,19164,19112,21215,25084,28120,26359,33427,33234,35060,34676,34287,29103,23461,21589,22727,26071,24581,21489,27178,27521,30434,28494,28993,25395,19308,17562,20188,24536
USA.INDPROD.GEOTHERM     ,8395,6838,10286,11505,10570,9907,8515,8487,8818,9452,11440,10389,10186,12011,12229,14119,13489,12785,9222,9210,8590,12361,13888,12068,15401,12787,15833,14874,15066,14499,11236,10645,11025,14832,13600,16176
USA.INDPROD.ELECTR       ,364184,321756,314100,289695,331673,380328,413968,412248,347802,309153,307808,364543,366971,315497,321219,304873,326982,371042,422284,409100,339638,310917,305409,337478,341564,310346,309294,296055,338365,362692,417892,397414,335649,312998,306789,335498
USA.IMPORTS.ELECTR       ,5809,4828,4763,4250,3347,4263,4711,3979,3179,2448,2038,1468,4282,3741,4023,3799,4898,4483,6023,5584,4036,3700,3471,4260,4149,3639,4206,4996,5472,5370,6675,6347,4908,4405,4695,4397
USA.EXPORTS.ELECTR       ,997,873,1112,1088,1479,1328,1272,1548,2032,2041,2133,3205,1592,1519,1542,1602,1275,1315,1254,1008,1016,913,1129,874,934,869,1199,1256,1150,1211,1008,850,906,744,800,1070
USA.CONSUME.ELECTR       ,368996,325711,317751,292857,333541,383263,417407,414679,348949,309560,307713,362806,369661,317719,323700,307070,330605,374210,427053,413676,342658,313704,307751,340864,344779,313116,312301,299795,342687,366851,423559,402911,339651,316659,310684,338825
