Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
DENMARK.INDPROD.ELECTR   ,4046,3774,3815,3041,2573,1902,1898,2009,2694,3331,3564,4162,3956,3892,3764,2782,2493,2051,1768,1929,1983,2592,2848,3295,3511,3468,2686,2228,1912,1743,1352,1393,2056,2588,2626,3490
DENMARK.IMPORTS.ELECTR   ,754,717,846,626,961,1291,1370,1138,860,707,579,750,770,543,602,890,795,1123,1430,1411,1392,945,931,860,909,765,1337,1427,1517,1440,1660,1857,1314,1381,1291,1019
DENMARK.EXPORTS.ELECTR   ,1289,1375,1458,939,789,535,691,460,802,1075,959,1363,1415,1423,1273,1017,557,588,606,537,572,604,786,997,1155,1080,1029,959,774,613,557,587,729,1037,925,1261
DENMARK.CONSUME.ELECTR   ,3511,3116,3203,2728,2745,2658,2577,2687,2752,2963,3184,3549,3311,3012,3093,2655,2731,2586,2592,2803,2803,2933,2993,3158,3265,3153,2994,2696,2655,2570,2455,2663,2641,2932,2992,3248
ESTONIA.INDPROD.THERMAL  ,1115,1020,1059,764,849,846,866,816,840,987,1034,1231,1202,1009,1110,798,867,911,855,917,825,843,1056,1037,953,969,812,771,800,772,691,946,851,941,945,1095
ESTONIA.INDPROD.NUCLEAR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTONIA.INDPROD.HYDRO    ,2,1,2,4,4,2,1,1,1,2,4,3,3,2,2,4,4,1,1,1,1,3,2,4,4,2,3,4,5,3,2,1,2,4,4,3
ESTONIA.INDPROD.GEOTHERM ,16,19,28,18,21,22,14,18,28,32,31,31,34,25,44,22,23,18,12,18,34,42,38,59,38,36,46,37,28,28,28,27,46,43,67,52
ESTONIA.INDPROD.ELECTR   ,1133,1041,1089,786,874,870,882,834,868,1021,1068,1265,1239,1036,1155,823,894,930,869,937,860,887,1096,1101,995,1007,861,813,833,803,721,974,899,988,1017,1150
ESTONIA.IMPORTS.ELECTR   ,96,51,26,248,77,56,108,141,101,55,67,73,40,68,99,276,113,97,162,133,198,237,128,139,228,215,264,244,261,209,297,154,180,192,228,238
ESTONIA.EXPORTS.ELECTR   ,268,268,297,365,334,385,447,418,368,373,385,447,412,297,437,410,370,480,486,497,462,444,499,458,347,329,315,346,444,407,420,508,444,439,474,477
ESTONIA.CONSUME.ELECTR   ,961,824,818,669,617,541,543,557,601,703,750,891,867,807,817,689,637,547,545,573,596,680,725,782,876,893,810,711,650,605,598,620,635,741,771,911
FINLAND.INDPROD.THERMAL  ,5127,4701,4621,3605,2696,1894,1713,2029,2848,3581,4037,5131,5197,4728,4864,3219,3179,1695,1323,1623,1775,2142,2719,2713,3356,3620,2947,2452,1808,1297,1031,1276,1891,2429,2470,3603
FINLAND.INDPROD.NUCLEAR  ,2022,1826,2022,1954,1346,1670,1934,1661,1589,1857,1971,2032,2037,1805,2032,1972,1381,1703,1981,1701,1608,2026,1979,2045,2057,1921,2047,1844,1350,1848,1987,1664,1497,1808,1985,2045
FINLAND.INDPROD.HYDRO    ,1102,945,893,1059,1480,1226,994,947,930,978,1038,1148,919,899,775,1018,1009,1001,935,925,909,1334,1244,1366,1274,1239,1209,1076,1709,1502,1498,1366,1224,1618,1521,1379
FINLAND.INDPROD.GEOTHERM ,49,45,52,45,41,45,48,42,48,72,54,52,62,55,88,59,65,54,45,52,68,77,76,87,64,68,77,65,70,51,55,51,73,63,85,70
FINLAND.INDPROD.ELECTR   ,8300,7517,7588,6663,5563,4835,4689,4679,5416,6488,7100,8364,8214,7487,7759,6268,5634,4453,4284,4299,4359,5579,6018,6210,6752,6848,6280,5438,4938,4699,4572,4357,4686,5918,6062,7098
FINLAND.IMPORTS.ELECTR   ,1391,1202,1328,1174,1361,1217,1289,1592,1241,1223,1346,1353,1345,1248,1324,1284,1312,1427,1700,1883,1949,1440,1338,1407,1918,1568,1649,1598,1535,1172,1517,1858,1705,1397,1493,1680
FINLAND.EXPORTS.ELECTR   ,372,465,1003,922,396,248,37,65,234,408,375,692,686,304,911,629,403,192,93,32,124,176,107,148,155,99,182,118,147,168,253,95,113,137,92,86
FINLAND.CONSUME.ELECTR   ,9319,8254,7913,6915,6528,5804,5941,6206,6423,7303,8071,9025,8873,8431,8172,6923,6543,5688,5891,6150,6184,6843,7249,7469,8515,8317,7747,6918,6326,5703,5836,6120,6278,7178,7463,8692
FRANCE.INDPROD.THERMAL   ,8641,6721,7217,3473,2888,2383,3015,1792,3031,4488,7051,8452,6606,6499,6805,2848,3222,2072,1883,2004,2815,4463,7026,5700,5571,8523,5459,3437,1968,2358,2463,2730,2630,3499,5329,5463
FRANCE.INDPROD.NUCLEAR   ,40313,36318,35984,31294,29372,29575,31744,32391,31657,31885,35455,41889,43854,38328,37688,32850,33070,32589,33487,31384,31477,32824,33705,39819,42812,38661,37549,33100,29058,26562,28818,28314,30130,32848,37119,39912
FRANCE.INDPROD.HYDRO     ,6204,5689,6061,5659,6373,7168,5395,4274,3509,3932,5387,6880,5893,4012,4405,4013,3377,4256,4143,3791,3148,3191,3851,5586,6661,5118,3890,5319,7631,6758,4852,3502,3556,4358,4689,6254
FRANCE.INDPROD.GEOTHERM  ,772,1076,1302,833,851,671,680,812,690,1182,1135,1059,1422,1084,1388,945,1025,1165,1133,967,1109,1285,1094,2140,1729,1308,1226,1824,1242,1268,1204,1176,1178,1469,1456,2428
FRANCE.INDPROD.ELECTR    ,55929,49804,50563,41259,39484,39797,40835,39269,38887,41486,49027,58280,57775,49924,50286,40656,40694,40082,40646,38147,38550,41763,45676,53246,56772,53611,48125,43681,39899,36946,37336,35722,37494,42174,48593,54057
FRANCE.IMPORTS.ELECTR    ,3041,2197,2128,1313,1376,543,780,479,983,2682,1727,2185,1416,956,974,614,558,338,322,372,546,940,1411,1054,806,3540,488,1050,685,708,1059,1069,683,890,742,795
FRANCE.EXPORTS.ELECTR    ,2661,3291,4271,3899,3516,5832,5411,6390,4601,3255,4038,3019,5038,4795,5551,5689,5866,6384,6490,5705,4773,4686,5143,5795,6246,2630,5480,4507,5124,4351,4236,4599,4733,4487,5099,5201
FRANCE.CONSUME.ELECTR    ,56309,48710,48420,38673,37344,34508,36204,33358,35269,40913,46716,57446,54153,46085,45709,35581,35386,34036,34478,32814,34323,38017,41944,48505,51332,54521,43133,40224,35460,33303,34159,32192,33444,38577,44236,49651
